exposureValue,focusValue,autofocusEnabled,setAperature,brightnessValue,contrastValue,saturationValue,gainValue,sharpnessValue,backlightCompensation,whiteBalanceAuto,whiteBalanceTemperature
20,15,233,119,1.95798,14879.5,774.291,number_1
19,14,233,119,1.95798,14872.5,771.12,number_1
20,15,233,119,1.95798,14876.5,776.434,number_1
20,15,233,119,1.95798,14856.5,773.948,number_1
21,16,233,119,1.95798,14869.5,775.12,number_1
20,15,233,119,1.95798,14860.5,775.948,number_1
19,15,233,119,1.95798,14870,772.877,number_1
21,16,233,119,1.95798,14868,775.706,number_1
19,15,233,119,1.95798,14859,772.534,number_1
19,15,233,119,1.95798,14871,773.706,number_1
19,15,233,119,1.95798,14877.5,774.291,number_1
20,15,233,119,1.95798,14883,772.049,number_1
20,16,233,119,1.95798,14885,771.706,number_1
20,15,233,119,1.95798,14886,770.877,number_1
20,15,233,119,1.95798,14861.5,773.948,number_1
19,16,233,119,1.95798,14843,777.019,number_1
20,15,233,119,1.95798,14847,776.534,number_1
20,16,233,119,1.95798,14863.5,773.948,number_1
20,15,233,119,1.95798,14835.5,777.605,number_1
20,15,233,119,1.95798,14845.5,777.948,number_1
17,13,125,306,0.408497,14894,766.558,number_1
21,16,233,119,1.95798,14895,776.534,number_1
20,16,233,119,1.95798,14852.5,776.777,number_1
19,15,233,119,1.95798,14896.5,771.948,number_1
20,15,233,119,1.95798,14878.5,777.12,number_1
20,16,233,119,1.95798,14872,773.362,number_1
20,16,233,119,1.95798,14853,776.191,number_1
22,16,233,119,1.95798,14858,768.877,number_1
15,9,122,307,0.397394,14928.5,770.659,number_1
18,11,120,315,0.380952,15554.5,779.831,number_1
15,9,123,323,0.380805,15978,799.044,number_1
15,10,124,330,0.375758,16739,825.186,number_1
18,12,127,332,0.38253,17515.5,837.085,number_1
19,13,127,332,0.38253,17936,848.985,number_1
17,12,124,331,0.374622,18611,979.411,number_1
17,11,122,332,0.36747,18427.5,973.512,number_1
24,19,120,334,0.359281,18495.5,968.34,number_1
20,14,120,334,0.359281,18625.5,977.654,number_1
21,16,119,334,0.356287,18725.5,965.311,number_1
20,14,118,334,0.353293,18655,988.725,number_1
23,17,118,334,0.353293,18693.5,989.654,number_1
21,15,117,334,0.350299,18650,989.411,number_1
20,15,117,333,0.351351,18583.5,989.997,number_1
24,18,118,333,0.354354,18557.5,991.311,number_1
19,12,118,332,0.355422,18574,986.926,number_1
19,15,119,332,0.358434,18537,999.897,number_1
21,15,119,331,0.359517,18470,991.411,number_1
20,14,118,331,0.356495,18485,986.583,number_1
22,16,119,330,0.360606,18439,987.269,number_1
17,11,118,330,0.357576,18415,988.24,number_1
